순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
181위,넌블랭크,오버사이즈 핏 울 블레이저_BLACK,https://www.musinsa.com/app/goods/2504718?loc=goods_rank,NC-BO022013-40,남,1.6천 회 이상,50개 미만,314
182위,코드그라피,[SET] 2-WAY 테크 숏 자켓 셋업_블랙,https://www.musinsa.com/app/goods/1571878?loc=goods_rank,CBCS1JP004BKCBCS1PL004BKCBCU3PS004BK,남,5.2만 회 이상,7.1천 개 이상,"32,824"
183위,코드그라피,[SET] 2-WAY 테크 숏 자켓 셋업_차콜,https://www.musinsa.com/app/goods/2284220?loc=goods_rank,CBCS1JP004CHCBCS1PL004CHCBCU3PS004CH,남 여,6.7만 회 이상,4.5천 개 이상,"17,004"
184위,네스티팬시클럽,[NF] 플루터 후드 집업 (CHARCOAL)_F22ZA934,https://www.musinsa.com/app/goods/2758038?loc=goods_rank,F22ZA934-1,여,1.3만 회 이상,600개 이상,"11,418"
185위,노스페이스,NJ3BP03J 화이트라벨 올레마 자켓,https://www.musinsa.com/app/goods/3078900?loc=goods_rank,NJ3BP03J,남,9.4만 회 이상,1.4천 개 이상,"7,316"
186위,집시,시티 바시티 자켓 -네이비-,https://www.musinsa.com/app/goods/2081465?loc=goods_rank,21JPS61,남,3.3천 회 이상,500개 이상,"4,456"
187위,디스커버리 익스페디션,윈드레이저 여성 바람막이 (BLACK),https://www.musinsa.com/app/goods/2991981?loc=goods_rank,DWWJ24031-BKS,여,700회 이상,,64
188위,노매뉴얼,PENON WIND SHELL - KHAKI,https://www.musinsa.com/app/goods/3047180?loc=goods_rank,NM31WB01M1KH,남 여,2.2만 회 이상,400개 이상,"1,987"
189위,디미트리블랙,HBT 커브스 캐주얼 수트 셋업_블랙,https://www.musinsa.com/app/goods/2784755?loc=goods_rank,DBBF9JK20BK DBBF9VT02BK  DBBF9PL12BK,남,6.8천 회 이상,300개 이상,"1,409"
190위,86로드,2724 Washing denim jacket (Black),https://www.musinsa.com/app/goods/638590?loc=goods_rank,86FDJO-272404,남,1.8만 회 이상,3천 개 이상,"24,772"
191위,코드그라피,[SET] 테크 워셔 후드 셋업_라이트그레이,https://www.musinsa.com/app/goods/2285033?loc=goods_rank,CBCS1JP015LGCBCS1PL015LG,남 여,4.9천 회 이상,100개 이상,"1,662"
192위,쿠어,탑필 캐시 울 카라 가디건 (블랙),https://www.musinsa.com/app/goods/2774649?loc=goods_rank,CXC4KT11K-BLK,남 여,1.6만 회 이상,1.1천 개 이상,"4,226"
193위,일꼬르소,[일꼬르소X미즈노] 유틸리티 테크 후드 점퍼 블루 IEJU3E702B2,https://www.musinsa.com/app/goods/3037703?loc=goods_rank,IEJU3E702B2,남,1만 회 이상,100개 이상,756
194위,이에이,OVERFIT 3BUTTON HIDDEN BLAZER Mud Brown,https://www.musinsa.com/app/goods/2129442?loc=goods_rank,IYJKBD001MB,남,500회 이상,,111
195위,브랜디드,2001 SLOW WORKER DENIM WASH. JACKET [BLACK INDIGO],https://www.musinsa.com/app/goods/1195307?loc=goods_rank,LOT2001,남,6.5만 회 이상,7.1천 개 이상,"38,868"
196위,드로우핏,울 스타디움 라인 집업 자켓 [BLACK],https://www.musinsa.com/app/goods/3030682?loc=goods_rank,DFJK3110BK,남,5.4만 회 이상,1.4천 개 이상,"6,709"
197위,그린버터,Stripe Skashi Collar Cardigan (Ivory),https://www.musinsa.com/app/goods/3141548?loc=goods_rank,001,여,,,14
198위,세터,테오 코튼 올 데이 후드 집업 멜란지 아이보리,https://www.musinsa.com/app/goods/2718414?loc=goods_rank,ALLSEASON,남 여,2.1만 회 이상,2.4천 개 이상,"12,959"
199위,맨인정글,[MIJ] 브루노 린넨 싱글 자켓 - 올리브,https://www.musinsa.com/app/goods/3125547?loc=goods_rank,MB10AJK03OV,남,700회 이상,,19
200위,후브스,코튼 투웨이 벌룬 니트 집업 [네이비],https://www.musinsa.com/app/goods/3056018?loc=goods_rank,231KN01NA,남,3.3만 회 이상,1.6천 개 이상,"3,175"
201위,오아이오아이,버티컬 파이핑 바람막이_블랙,https://www.musinsa.com/app/goods/3045381?loc=goods_rank,OI1C1SJK20_1,남 여,4.9천 회 이상,50개 이상,574
202위,도프셉,FAUX Leather Hoodie Jumper in Brown,https://www.musinsa.com/app/goods/3044522?loc=goods_rank,DFS22FJK013BK,여,1.1천 회 이상,,146
203위,아웃스탠딩,HUNTING HOOD JACKET_ORANGE,https://www.musinsa.com/app/goods/2349739?loc=goods_rank,OSTD136,남,5.9천 회 이상,500개 이상,"2,304"
204위,메종미네드,BLACK WAVE DENIM PRINTING JACKET,https://www.musinsa.com/app/goods/3047846?loc=goods_rank,FMRSCJA107M,남,6.9천 회 이상,50개 이상,567
205위,비터셀즈,웨이브 스웨이드 자켓-블랙,https://www.musinsa.com/app/goods/3047866?loc=goods_rank,Wave Suede Jacket-Black,여,1만 회 이상,50개 이상,"2,093"
206위,인사일런스,[INSILENCE X KKST] 디태처블 울 블레이저 CHARCOAL,https://www.musinsa.com/app/goods/2365616?loc=goods_rank,IM2B2JK31CH,남,7.8천 회 이상,600개 이상,"2,610"
207위,1993스튜디오,오리지널 90S 바시티 자켓_블랙,https://www.musinsa.com/app/goods/3043090?loc=goods_rank,93231WJP1001,남 여,1.4만 회 이상,100개 이상,"3,074"
208위,키뮤어,커브드 오버핏 후드집업_그레이,https://www.musinsa.com/app/goods/3046690?loc=goods_rank,KBCS1TC001DG,남 여,2.5만 회 이상,600개 이상,"2,482"
209위,레이브,Button Tweed Jacket in Navy VW2AJ090-23,https://www.musinsa.com/app/goods/2798869?loc=goods_rank,VW2AJ090,여,300회 이상,50개 미만,516
210위,인사일런스,크래프트 스카시 카디건 BLACK,https://www.musinsa.com/app/goods/3136596?loc=goods_rank,IM2C2KT07BK,남,1.7천 회 이상,,147
211위,무신사 스탠다드,하이넥 미니멀 블루종 재킷 [블랙],https://www.musinsa.com/app/goods/3054928?loc=goods_rank,MMCUJ101-BK,남,1.3만 회 이상,50개 이상,558
212위,뉴발란스,NBNAD12323 / [STREET COURT] UNI N 플라잉 웜업자켓 (CREAM),https://www.musinsa.com/app/goods/3061903?loc=goods_rank,NBNAD12323_64,남,8.7천 회 이상,50개 이상,549
213위,플레이스 스튜디오,골덴 카라 크롭 바시티 스타디움 레더 배색 자켓 점퍼,https://www.musinsa.com/app/goods/2996387?loc=goods_rank,23SS,여,3.5만 회 이상,1.8천 개 이상,"12,783"
214위,예일,[2PACK] [AIRY] LIGHT RELAX FIT BLOUSON IVORY + TEE,https://www.musinsa.com/app/goods/3221764?loc=goods_rank,YD01SS1004WH,남 여,,,1
215위,라퍼지스토어,윈드셀 반집업 후드 아노락 자켓_Cream,https://www.musinsa.com/app/goods/3113916?loc=goods_rank,m1037_685405,남 여,1.3만 회 이상,100개 이상,815
216위,무신사 스탠다드,릴렉스드 베이식 블레이저 [더스티 베이지],https://www.musinsa.com/app/goods/1558688?loc=goods_rank,MMJJK601-UI,남,2.1만 회 이상,4.5천 개 이상,"9,260"
217위,디스커버리 익스페디션,이노블럭 후드 남성 바람막이 (L/BLACK),https://www.musinsa.com/app/goods/2655118?loc=goods_rank,DMWJ11024-BKL,남,800회 이상,50개 미만,68
218위,도프제이슨,비건레더 밸런스 바시티 자켓 BLACK,https://www.musinsa.com/app/goods/2755663?loc=goods_rank,DF22FW0402,남,8.7천 회 이상,1.6천 개 이상,"6,408"
219위,아티스트웨어,[ATW]오리지널 아노락 셋업,https://www.musinsa.com/app/goods/3103676?loc=goods_rank,AT2DH-S1JK304+AT2DH-S1PT803,남 여,2.3천 회 이상,50개 미만,318
220위,디스커버리 익스페디션,경량 아웃포켓 남성 자켓 (D/BLUE),https://www.musinsa.com/app/goods/3143896?loc=goods_rank,DMWJ71033-SBD,남,300회 이상,,8
221위,나이스고스트클럽,댄싱 스켈레톤 집 폴로 니트_블랙(NG2CFUK680A),https://www.musinsa.com/app/goods/2709273?loc=goods_rank,NG2CFUK680ABK,남,2.6만 회 이상,4.7천 개 이상,"24,528"
222위,노매뉴얼,TRANSLUCENT HOODED JACKET - SAND YELLOW,https://www.musinsa.com/app/goods/3047188?loc=goods_rank,NM31WB03M1IV,남 여,1.3만 회 이상,100개 이상,"1,601"
223위,알리스,커브드 라인 바시티 윈드브레이커 자켓 [크림블랙],https://www.musinsa.com/app/goods/3037896?loc=goods_rank,ALSJK3101BK,남,8.2천 회 이상,200개 이상,"2,088"
224위,어반디타입,[ 리뉴얼 ] 아노락 쓰리피스 풀 셋업_민트 그레이,https://www.musinsa.com/app/goods/1776549?loc=goods_rank,Pack43,남 여,3.4만 회 이상,8.1천 개 이상,"22,920"
225위,스파오,[프렌치테리] 루즈핏 2-WAY 후드집업_SPMZD12U01,https://www.musinsa.com/app/goods/2668986?loc=goods_rank,SPMZD12U01,남 여,8.7만 회 이상,1.8만 개 이상,"25,109"
226위,엘무드,화란 세미오버 가디건 탄,https://www.musinsa.com/app/goods/1769200?loc=goods_rank,LMDC001,남 여,4.4천 회 이상,300개 이상,"1,361"
227위,메종미네드,FRONT FLAP RAW DENIM TRUCKER,https://www.musinsa.com/app/goods/3046117?loc=goods_rank,FMRSDJA101M,남,3.2천 회 이상,50개 미만,371
228위,네스티팬시클럽,[NF] 제스트 스티치 후드 집업 (BLACK)_F23QB461,https://www.musinsa.com/app/goods/3040749?loc=goods_rank,F23QB461BK,여,2.3만 회 이상,400개 이상,"5,500"
229위,아웃스탠딩,OUT PCU HOOD JACKET_BLACK,https://www.musinsa.com/app/goods/3059932?loc=goods_rank,OSTD588,남,4.8천 회 이상,50개 이상,291
230위,레테르코모,빅 어워드 스타디움 울 바시티자켓 블랙,https://www.musinsa.com/app/goods/2752332?loc=goods_rank,22FWOUT023,남 여,10.4만 회 이상,1.2만 개 이상,"53,328"
231위,키뮤어,커브드 미니멀 바람막이_블랙,https://www.musinsa.com/app/goods/3046683?loc=goods_rank,KBCS1JP001BK,남 여,3.2만 회 이상,1천 개 이상,"3,247"
232위,더니트컴퍼니,[SET] 23SS 쿨맥스 위버쿨 자켓 & 쿨맥스 테이퍼드핏  슬랙스,https://www.musinsa.com/app/goods/2499152?loc=goods_rank,TMSU592320,남,2.3천 회 이상,1.2천 개 이상,"1,448"
233위,알파 인더스트리,L-2B 스카우트 Black,https://www.musinsa.com/app/goods/821838?loc=goods_rank,MJL46000C1,남 여,3.3천 회 이상,100개 이상,"1,491"
234위,스컬프터,Triple Stitched Windbreaker Black,https://www.musinsa.com/app/goods/3034966?loc=goods_rank,SC23S112BK,남 여,5.9천 회 이상,100개 이상,"1,253"
235위,테이크이지,라쿠 베이스볼 오버자켓(네이비),https://www.musinsa.com/app/goods/2093817?loc=goods_rank,T21JP004,남 여,2.3만 회 이상,4.2천 개 이상,"23,882"
236위,벌스데이수트,TRUCKER JACKET (BEIGE),https://www.musinsa.com/app/goods/3053196?loc=goods_rank,BDHSOUJK113,남,700회 이상,,102
237위,모디파이드,글렌체크 싱글 블레이저 (브라운),https://www.musinsa.com/app/goods/3056650?loc=goods_rank,M2179,남,2.7천 회 이상,50개 미만,186
238위,르마드,로우컷 뒷밴딩 숏 자켓 - 인디 핑크,https://www.musinsa.com/app/goods/3048143?loc=goods_rank,2023 SS-003,남,2.8만 회 이상,1.2천 개 이상,"3,054"
239위,쿠어,테리 오픈 칼라 가디건 (베이비블루),https://www.musinsa.com/app/goods/3062283?loc=goods_rank,CXD2KT01K-BYB,남 여,2.3만 회 이상,200개 이상,"2,060"
240위,러브이즈트루,VL 2-WAY CROP HOOD ZIP UP(BLACK),https://www.musinsa.com/app/goods/2935312?loc=goods_rank,5001745372,여,1.6만 회 이상,1천 개 이상,"8,808"
241위,메종미네드,WASHING DENIM SNAP HOOD BLUE,https://www.musinsa.com/app/goods/3161197?loc=goods_rank,FMRSCTH307M,남,2.7천 회 이상,,207
242위,무신사 스탠다드,CONE 플리츠 데님 트러커 재킷 [크림],https://www.musinsa.com/app/goods/2993119?loc=goods_rank,MMBNJ891-CR,남,5.9천 회 이상,100개 이상,421
243위,케즈,스티치 블루종 점퍼 (KD2JPF1101FNAY),https://www.musinsa.com/app/goods/3027106?loc=goods_rank,3040KD2JPF1101FNAY,여,8.5천 회 이상,100개 이상,"1,473"
244위,아디다스,빅 트레포일 쉐르파 재킷 - 블랙 / HR3180,https://www.musinsa.com/app/goods/2822678?loc=goods_rank,HR3180,남 여,1.4만 회 이상,800개 이상,"3,346"
245위,노스페이스,NJ1DN69A 버몬트 다운 후디,https://www.musinsa.com/app/goods/2904082?loc=goods_rank,NJ1DN69A,남,2.2천 회 이상,100개 이상,613
246위,예일,[YALE x DESCENTE] HEAVY-WEIGHT POCKET HOODIE ZIP UP NAVY,https://www.musinsa.com/app/goods/2993008?loc=goods_rank,YD01HD5010NA,남 여,2.1천 회 이상,50개 미만,546
247위,마리떼,NYLON GLOSSY JUMPER black,https://www.musinsa.com/app/goods/3065789?loc=goods_rank,1MG23SJP102,남,,,58
248위,르마드,로우컷 뒷밴딩 숏 자켓 - 블랙,https://www.musinsa.com/app/goods/3048144?loc=goods_rank,2023 SS-004,남,3.1만 회 이상,800개 이상,"3,135"
249위,비바스튜디오,PUNK AESTHETIC HOOD VEST [WHITE],https://www.musinsa.com/app/goods/3106768?loc=goods_rank,P0000GLO_4,남,700회 이상,,179
250위,인사일런스,라이트웨이트 쉬어 블루종 BLACK,https://www.musinsa.com/app/goods/3078510?loc=goods_rank,IM2C2JP04BK,남,3.5천 회 이상,50개 이상,340
251위,무신사 스탠다드,릴렉스드 데님 트러커 재킷 [워시드 블랙],https://www.musinsa.com/app/goods/1337094?loc=goods_rank,MMJNJ108-WC,남,7.9만 회 이상,7.5천 개 이상,"18,707"
252위,엘무드,크로아상 블루종 점퍼 블랙,https://www.musinsa.com/app/goods/2670693?loc=goods_rank,LMDM38,남,4.5천 회 이상,300개 이상,"1,522"
253위,코드그라피,CGP 아치 로고 후드 집업_블랙,https://www.musinsa.com/app/goods/2283930?loc=goods_rank,CBCS1TC200BK,남 여,2만 회 이상,2.8천 개 이상,"9,350"
254위,무신사 스탠다드,데님 드리즐러 재킷 [라이트 인디고],https://www.musinsa.com/app/goods/3054936?loc=goods_rank,MMCNJ103-LI,남,5.1천 회 이상,50개 미만,231
255위,모디파이드,M1509 오버핏 베이지 맥코트,https://www.musinsa.com/app/goods/715124?loc=goods_rank,M#1509,남,1.1만 회 이상,500개 이상,"8,279"
256위,르마드,비건 레더 절개 자켓 - 브라운,https://www.musinsa.com/app/goods/2092097?loc=goods_rank,2021 FW-009,남,8.2천 회 이상,1천 개 이상,"6,488"
257위,라퍼지스토어,윈드셀 포켓 블루종 자켓_Black,https://www.musinsa.com/app/goods/3075950?loc=goods_rank,1111,남 여,4.1만 회 이상,800개 이상,"2,791"
258위,노이아고,NOI853 배색 파이핑 윈드브레이커 (블랙),https://www.musinsa.com/app/goods/3056126?loc=goods_rank,NOI853,여,7.6천 회 이상,50개 이상,"1,997"
259위,드로우핏,미니멀 소프트 울 자켓 [BLACK],https://www.musinsa.com/app/goods/2322836?loc=goods_rank,DFJK2103BK,남,3.3만 회 이상,2.6천 개 이상,"8,264"
260위,오페,헤링본 코튼 하이넥 봄버 자켓 (크림),https://www.musinsa.com/app/goods/3159249?loc=goods_rank,23SS 005,남,700회 이상,,57
261위,엄브로,UK 헤리티지 스탠넥 아노락 블랙(UO121CWT29),https://www.musinsa.com/app/goods/3093002?loc=goods_rank,UO121CWT29_BLK0,남 여,5.5천 회 이상,50개 이상,376
262위,와릿이즌,바시티 자켓 블랙,https://www.musinsa.com/app/goods/3099605?loc=goods_rank,MG2301JK12BK,남 여,2.7천 회 이상,50개 미만,158
263위,트래블,3 레이어 써밋 후드 윈드 브레이커 사파이어 블루,https://www.musinsa.com/app/goods/2703787?loc=goods_rank,TRTTAWWB09UB5,남,3만 회 이상,1.8천 개 이상,"8,041"
264위,폴로 랄프 로렌,바이스윙 윈드브레이커 - 베이지,https://www.musinsa.com/app/goods/1620288?loc=goods_rank,MNPOOTW16020132-250,남,1.8만 회 이상,300개 이상,"2,080"
265위,에비던스,하이글로시 윈드 브레이커 재킷 [차콜],https://www.musinsa.com/app/goods/3041844?loc=goods_rank,P00000IE,남,,,34
266위,파르티멘토,[비건 레더] 디스트레스 페널 블루종 브라운,https://www.musinsa.com/app/goods/3029205?loc=goods_rank,[Vegan Leather] Distress Panelled Blouson Brown,남 여,1.1만 회 이상,200개 이상,"1,760"
267위,넌블랭크,세미 오버사이즈 핏 블레이저_DARK BROWN,https://www.musinsa.com/app/goods/2101089?loc=goods_rank,NB-BS092014-40,남,7.1천 회 이상,500개 이상,"1,799"
268위,틸 아이 다이,Jeddy Bomber jacket_Charcoal,https://www.musinsa.com/app/goods/2764445?loc=goods_rank,5000276127,여,1.5천 회 이상,50개 미만,499
269위,도프셉,FAUX Leather Highneck Jacket in Black,https://www.musinsa.com/app/goods/3044503?loc=goods_rank,DFS22FJK013BK,여,2.6천 회 이상,50개 이상,"1,042"
270위,제로,Vertical Clean Denim Trucker Jacket [Black],https://www.musinsa.com/app/goods/2680393?loc=goods_rank,2022F16,남 여,1.1천 회 이상,100개 이상,556
